review,sentiment
watching Ace Young and other American Idol finalists preform live for us ,4
@LaurenIsRandom Whats Hotel 626? Is it a game? Cos the link is broken ,0
watching TITANIC!!!!!!!! ahahah call or texxt me. ,4
wants her friends to join twitter ,0
@heyhotmess Not for a while... busy moving...  #gno,4
@abacab1975 I do dear! It was very nice too!! ,4
"@ndizzlecfizzle oh, I keep forgetting that tomorrow isn't Friday....I thought today was Thursday  opps!",0
"Twitter pic still not working, sigh ",0
@skashliwal Good morning  How are you today?,4
Omg Cleveland  ,0
@steverumsby thankyou ,4
It's about time I go to bed... I want to get up early and get stuff done before work @ 11... ,4
"getting tons of spam on #tagged, closing my account there ",0
I hate when Spongbob crys...Its sooo sad ,0
@xxAnnaSxx Grey Daze is love ,4
1 ... 2 ... 3 The hater passes by!! 3 ... 2 ... 1 he cut your neck!!   lol,4
Poor sonny.  we love you old boy..,0
Had to come home early to take my little boy to the doctor ,0
@the8333696 the traffic is ALWAYS shite in Aberdeen! LOL takes me about 45 mind to get from one end to other ,0
@ModelMandyLynn TAG You're it!  *runs away....,4
"let's get that win boys! i'll be cheering you on all the way from durham, even though i'm at work, lol ",4
I search &quot;maths&quot; on my local paper website @Nottingham_News &amp; get: http://tinyurl.com/my2wfa - just a horrible piece ,0
"@rachyfbaby @ work, or supposed to be @ work.  Twitter will probably get me fired. ",0
"Travelling to Putney from Southend via Finsbury Park, confusingly. Thus, will miss the freakzone.  #zonechild",0
i wish i had a computer available rn  i need to listen to atl's new song D:,0
@adactio thanks ,4
Work sucked. At my sister's now 4 a bbq 4 her step-son's bday. I'm so cranky n don't know why. ,0
Here we go again ,0
Today i'm having the END OF THE YEAR SHOW! i'm soooooo Nervous! tomorrow is the last day! i don't want to leave! ,0
is going to auschwitz  http://plurk.com/p/116r50,0
Sooooooooo tired. And my motorbike is acting wierd this morning ,0
On my way to the @hotel_max tweetup. Missed the bus and will be late ,0
Wow! Just received a SPAM SMS. Fwd from number I don't know. Looks like viagra email or something. Somebody shoot them. ,0
legs hurt so much I hope I didn't re-tear my hamstring or knee ,0
has a fridge full of food..can you believe it? ,4
back to school tomorrow! track meet in darien...hahahah oh boy! ,4
@bobgarrett http://blip.fm/THECOASTDJMJ via  Sound Wonderful! Have A Great Sat! ,4
Passing the fuuuuck out. Work at 1 tomorrow ,0
I can still drown and burn sims on sims 3!  cathartic.,4
"Emma Watson quits acting after HP, about time. And no Neve for Scream 4  I don't think the Arquettes can hold the film alone.",0
3am wakeup call.  Is this 600k a good idea ,4
@Giilliiaann mines a whole year in like 2 days. its really sad  i will do. xx,0
"So on Facebook, I took the &quot;How Gay Are You?&quot; quiz, and I got 100%! Facebook knows me so well! ",4
[-O] @JackAllTimeLow have fun! i wish that i was there! but no mum and dad would not let me  http://tinyurl.com/krg9t7,0
Havn't had my Ellen fan Club account for an hour and lost the password. Great!! ,0
@TransformersUK @ParamountUK   Is there any way to make your windows for trailers &amp; footage bigger?  Ther are a nightmare as they are ,0
So @rushtoaugust wanted some peace. Let me share it with you. *ta-daaaa* ,4
"@runawayapricot annies homegrown organic foods, found in most all stores, they have all kinds of things  and good snacks too!",4
@otherbella can I just... have Serena? ,4
@JeriJ lol cool IM HARLEMS KING.so when u meet a harlem cat tell them u no king  lol..what u doin todayyyyy,4
Mom's garden has attracted swarms of bees. Let's congratulate her @Padme001. ,4
"@dougiemcfly  hey ,   do you like Brazil ? ",4
@nunnie20 stoppppp!! You're just making me miss New York even more! ,0
yo @rumblepurr Mams got a new job so she hardly has any time for me anymore  I miss my *rumbleCUDDLES* !!!,0
@leonkay Aw you still get TV for your birthday from your parents..my Mum gives me M&amp;S undies and wine! No fair! lol That was lovely gift! ,4
I love beautiful Colorado days and finding out I don't have to work ,4
"For every kiss you give me, I'll give you three - ",4
Finally a day off with some sunshine! Too bad everyone else has work/school... Stuck home alone anyways ,0
@kellynewsome sounds like heaven.  ,4
Will I be able to take my bike tomorrow? Forecast doesn't look good ,0
aaah weathers lovelyyyyyyyyyyyy ,4
@matthewsapien But if you turned me off that would be sad ,0
does not like goodbyes ,0
@AndrewCrawford I know! I know! I know! ... but I cheated ,0
I need a pedicure. Does anyone want to go get their feeties fondled with me? ,4
Happy Mothers Day ,4
